"interval"	"steps"
2045	21.3207547169811
2050	32.3018867924528
2055	20.1509433962264
2100	15.9433962264151
2105	17.2264150943396
2110	23.4528301886792
2115	19.2452830188679
2120	12.4528301886792
2125	8.0188679245283
2130	14.6603773584906
2135	16.3018867924528
2140	8.67924528301887
2145	7.79245283018868
2150	8.13207547169811
2155	2.62264150943396
2200	1.45283018867925
2205	3.67924528301887
2210	4.81132075471698
2215	8.50943396226415
2220	7.07547169811321
2225	8.69811320754717
2230	9.75471698113208
2235	2.20754716981132
2240	0.320754716981132
2245	0.113207547169811
2250	1.60377358490566
2255	4.60377358490566
2300	3.30188679245283
2305	2.84905660377358
2310	0
2315	0.830188679245283
2320	0.962264150943396
2325	1.58490566037736
2330	2.60377358490566
2335	4.69811320754717
2340	3.30188679245283
2345	0.641509433962264
2350	0.226415094339623
2355	1.07547169811321
