"classe","roll_belt","pitch_belt","yaw_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z"
"A",1.51,8.1,-94.4,0.02,0,-0.02,-20,4,22,-3,601,-318,-129,20.7,-161,-0.02,0,-0.02,-289,110,-125,-374,350,516,13,-70.7,-84.7,0,-0.02,0,-235,47,-271,-558,291,-71,27.1,-63.7,-151,0.03,-0.03,0,193,203,-213,-11,661,470
"A",1.53,8.11,-94.4,0.03,0,0,-19,4,21,-8,605,-319,-129,20.7,-161,-0.02,-0.02,0,-289,109,-123,-370,340,512,13.05217456,-70.49400371,-84.87393888,0,-0.02,0,-234,47,-271,-555,290,-68,27.1,-63.7,-151,0.05,-0.03,0,191,202,-214,-14,667,470
"A",1.55,8.09,-94.4,0.02,0,0,-21,3,22,-10,601,-312,-129,20.7,-161,-0.02,-0.02,-0.02,-290,108,-123,-366,346,511,12.80059675,-70.31304585,-85.11886321,0,-0.02,-0.02,-233,46,-271,-563,294,-72,27,-63.7,-151,0.03,0,0,190,203,-216,-16,658,462
"A",1.52,8.16,-94.4,0.03,0,-0.02,-20,4,23,-4,606,-320,-129,20.7,-161,-0.02,-0.02,0,-290,109,-125,-367,337,514,13.05217456,-70.49400371,-84.87393888,0,-0.02,-0.02,-234,47,-271,-552,291,-60,26.8,-63.6,-151,0.02,-0.02,-0.03,195,205,-217,-12,657,469
"A",1.52,8.17,-94.4,0.03,0,-0.02,-21,4,21,2,593,-308,-129,20.7,-161,0,-0.02,0,-289,109,-125,-366,349,523,13.07948887,-70.67116245,-84.69053461,0,-0.02,-0.02,-234,47,-270,-562,298,-64,26.8,-63.6,-151,0.02,-0.02,-0.03,189,204,-217,-4,661,479
"A",1.53,8.17,-94.4,0.02,0.02,-0.02,-21,4,22,0,601,-308,-129,20.7,-161,0,0,0,-290,109,-126,-371,331,512,12.52525589,-70.34276829,-85.15887803,0,-0.02,-0.02,-233,45,-271,-558,294,-64,26.8,-63.6,-151,0.02,0,-0.02,192,203,-217,-13,660,469
"A",1.44,8.19,-94.4,0.02,0,-0.03,-21,5,21,-4,603,-315,-129,20.6,-161,0.02,-0.02,-0.02,-289,108,-127,-368,338,528,13.10687346,-70.84904,-84.50636612,0,-0.02,-0.02,-234,47,-269,-555,299,-66,26.7,-63.7,-151,0,0,0,192,206,-216,-19,653,466
"A",1.44,8.18,-94.3,0.02,0.02,-0.02,-22,3,21,-6,604,-315,-129,20.5,-161,0.02,-0.02,0,-291,109,-126,-369,337,512,13.30261297,-70.67355141,-84.62953444,0,-0.02,-0.02,-235,48,-271,-556,296,-68,26.7,-63.7,-151,0,0,-0.02,188,204,-214,-14,656,465
"A",1.42,8.12,-94.3,0,0,-0.02,-21,3,21,-3,603,-319,-130,20.3,-161,0.03,-0.02,-0.03,-289,111,-123,-368,340,515,13.07574259,-70.28271016,-85.07803122,0,-0.02,-0.02,-233,47,-271,-554,295,-61,26.5,-63.8,-150,-0.02,0.02,-0.03,191,207,-215,-9,654,471
"A",1.4,8.04,-94.3,0,0,-0.02,-21,4,21,-3,604,-316,-130,20.2,-161,0,-0.02,-0.02,-290,111,-125,-373,336,507,13.65402259,-70.39675962,-84.81058285,0,-0.02,0,-233,49,-270,-552,296,-69,26.4,-63.9,-150,-0.02,-0.02,-0.03,191,205,-215,-18,651,469
"A",1.4,8.04,-94.3,0.02,0,-0.02,-21,3,21,-2,601,-319,-130,20.2,-161,0.02,-0.02,0,-289,112,-122,-369,334,510,13.05217456,-70.49400371,-84.87393888,0,-0.02,0,-234,47,-271,-563,287,-68,26.4,-63.9,-150,0,-0.02,-0.02,194,203,-213,-11,658,472
"A",1.34,8.05,-94.3,0,0.02,-0.03,-22,3,20,2,602,-317,-130,19.9,-162,0.02,-0.03,-0.02,-289,110,-124,-372,339,507,13.70755934,-70.36176881,-84.83080156,-0.02,0,0,-232,49,-269,-554,297,-62,26.4,-63.9,-150,0.02,-0.02,-0.02,192,207,-216,-13,659,465
"A",1.3,7.85,-94.2,-0.02,0.02,0,-20,1,20,-8,603,-310,-130,19.7,-162,0.02,-0.03,-0.02,-290,110,-123,-367,333,515,12.45410714,-70.58765444,-84.93285578,0,-0.02,0.02,-235,45,-272,-560,299,-65,26,-63.9,-150,0.02,-0.02,-0.02,192,203,-215,-12,648,464
"A",1.29,7.81,-94.2,-0.02,0.02,0,-19,4,19,1,602,-309,-130,19.7,-162,0,-0.02,-0.02,-289,111,-120,-366,341,508,13.29883416,-70.28683115,-85.01527601,0,-0.02,0,-234,48,-272,-559,291,-68,26,-63.9,-150,0.02,-0.02,-0.02,192,202,-216,-12,652,464
"A",1.33,7.76,-94.2,-0.02,0.02,0,-19,4,21,-3,601,-318,-130,19.7,-162,0,-0.03,-0.02,-289,111,-124,-370,332,506,13.13073959,-70.63750507,-84.71064711,0,-0.02,0,-233,47,-269,-558,290,-65,26,-63.9,-150,0.03,0,0,191,202,-214,-10,655,469
"A",1.33,7.69,-94.2,0.02,0,-0.02,-18,5,22,2,593,-312,-130,19.6,-162,0,-0.02,0,-290,111,-123,-366,336,513,13.40681541,-70.60607434,-84.66896285,0,-0.02,0,-233,48,-269,-557,294,-68,25.8,-63.8,-149,0.03,0,0,194,208,-214,-16,653,462
"A",1.31,7.69,-94.2,0.02,0,-0.03,-19,3,21,-2,597,-317,-130,19.6,-162,-0.02,-0.02,-0.03,-288,108,-124,-371,337,508,13.13771445,-71.41795984,-83.93197331,0,0,0,-235,47,-267,-554,295,-61,25.5,-63.8,-149,0.02,0,-0.07,195,207,-216,-15,657,460
"A",1.3,7.68,-94.2,0,0,-0.02,-18,4,23,1,597,-316,-130,19.5,-162,0,-0.02,-0.02,-289,109,-125,-372,335,515,13.76151374,-70.32648299,-84.85114062,0,-0.02,0,-231,49,-268,-555,293,-74,25.4,-63.8,-149,0,-0.02,-0.05,193,206,-215,-10,656,461
"A",1.27,7.56,-94.1,0,0,-0.03,-19,4,21,0,601,-312,-130,19.4,-162,0.02,-0.02,-0.03,-290,110,-127,-369,348,505,13.2,-70.4,-84.9,-0.02,-0.02,-0.02,-232,47,-269,-561,289,-61,24.9,-63.8,-149,0.02,0,-0.05,190,207,-216,-10,653,467
"A",1.26,7.54,-94.1,0,0,-0.03,-19,3,22,-2,605,-311,-130,19.4,-162,0.02,-0.02,-0.03,-287,108,-125,-371,342,508,13.71142288,-70.75201249,-84.4415855,0,-0.02,-0.02,-233,49,-268,-553,290,-66,24.9,-63.8,-149,0.02,-0.02,-0.05,192,204,-217,-12,653,475
"A",1.26,7.47,-94.2,0.02,0,-0.02,-17,4,21,-3,599,-292,-130,19.2,-162,0.02,-0.02,-0.03,-285,109,-122,-365,343,518,14.27102761,-71.46548346,-83.57624877,-0.02,-0.02,-0.02,-235,51,-266,-558,294,-67,24.9,-63.8,-149,0,-0.02,-0.02,190,204,-216,-20,660,476
"A",1.27,7.46,-94.1,0.03,0,-0.02,-18,3,20,-4,596,-313,-130,19.2,-162,0.02,-0.02,-0.02,-287,110,-124,-370,338,519,13.58004112,-71.02860105,-84.20204033,-0.02,-0.02,0,-236,49,-270,-555,289,-71,25,-63.8,-149,0,-0.03,-0.03,193,204,-215,-11,649,477
"A",1.25,7.45,-94.1,0.02,0,-0.02,-19,1,23,2,597,-304,-131,19.1,-162,0.02,-0.02,-0.02,-290,110,-125,-369,334,513,13.40681541,-70.60607434,-84.66896285,-0.02,-0.02,-0.02,-233,48,-269,-551,304,-52,24.9,-63.8,-149,0,-0.02,-0.05,190,205,-214,-16,655,472
"A",1.23,7.43,-94.1,0,0,-0.02,-21,3,22,-4,598,-306,-131,19,-162,0.02,-0.02,0,-289,110,-124,-368,335,518,13.65784101,-70.78551893,-84.42283544,0,-0.02,0,-234,49,-269,-557,298,-63,24.9,-63.8,-149,-0.02,-0.03,-0.05,194,205,-215,-17,650,463
"A",1.24,7.43,-94.1,0,0,-0.02,-19,4,22,2,598,-314,-131,19,-162,0,-0.02,0,-289,111,-120,-372,335,521,13.41047767,-70.99594236,-84.28004856,-0.02,0,0,-234,48,-268,-559,298,-70,24.9,-63.8,-149,0,-0.02,-0.03,192,202,-211,-22,660,477
"A",1.26,7.4,-94.1,0,0,-0.02,-20,3,22,-6,606,-314,-131,18.9,-162,0,-0.02,-0.02,-290,111,-125,-374,342,511,13.37871611,-70.42855971,-84.85305745,-0.02,-0.02,0,-233,48,-270,-557,291,-70,25,-63.8,-149,0.02,-0.02,0,192,202,-214,-12,649,476
"A",1.28,7.33,-94.1,0,0,-0.03,-19,3,21,-3,605,-319,-131,18.8,-162,0.02,-0.02,0,-288,109,-125,-368,339,510,13.38245941,-70.81758832,-84.46500278,0,-0.02,0,-234,48,-269,-564,288,-69,24.9,-63.7,-149,0.02,0,-0.02,190,208,-215,-22,654,475
"A",1.23,7.31,-94.1,0,0,-0.03,-21,5,20,-3,599,-302,-131,18.6,-162,0.02,-0.02,-0.02,-289,109,-125,-373,335,511,13.15834491,-70.81598707,-84.52580163,0,-0.03,0,-233,47,-268,-558,293,-63,24.8,-63.7,-149,0.02,-0.02,-0.02,193,201,-214,-16,657,471
"A",1.17,7.27,-94.1,0,0,-0.03,-20,2,21,-6,595,-302,-131,18.5,-162,0.02,-0.02,-0.03,-289,111,-122,-364,339,507,12.88149984,-70.84703902,-84.56669062,0,-0.03,0,-233,46,-268,-557,291,-64,24.8,-63.6,-149,0.02,-0.02,0,191,202,-214,-10,655,475
"A",1.16,7.27,-94.1,0,0,-0.02,-19,3,22,-6,605,-308,-131,18.4,-162,0.02,-0.02,-0.02,-290,111,-123,-364,338,510,13.43498726,-70.78431067,-84.4840986,0,-0.03,0,-233,48,-268,-561,296,-69,24.5,-63.7,-149,0.02,0.05,0,195,204,-215,-15,652,472
"A",1.18,7.26,-94.1,0.02,0,-0.03,-18,4,23,-1,602,-314,-131,18.2,-162,0.02,-0.02,-0.02,-290,110,-123,-370,340,515,13.63302557,-70.99624864,-84.21990017,0.02,-0.02,-0.02,-235,49,-269,-561,294,-58,23.6,-63.9,-148,0,0.05,-0.05,193,206,-211,-7,656,468
"A",1.19,7.25,-94.1,0.02,0,-0.02,-19,2,25,-2,604,-310,-131,18.2,-162,0.02,-0.02,0,-290,110,-122,-372,335,510,13.00511957,-70.91432223,-84.46784499,0,-0.02,0,-236,47,-271,-553,292,-70,23.5,-63.9,-148,0.02,0.02,-0.03,195,204,-212,-6,653,469
"A",1.18,7.26,-94.1,0.02,0,-0.03,-20,3,22,-8,602,-309,-131,18.1,-162,0.02,-0.03,-0.02,-289,110,-122,-369,341,510,12.9,-70.5,-85,0,-0.02,-0.03,-232,46,-269,-563,295,-51,23.4,-63.8,-147,0.06,0,0.03,192,205,-213,-5,653,475
"A",1.18,7.28,-94.1,0.02,0,-0.02,-19,3,22,6,598,-315,-131,18.1,-162,0.02,-0.02,0,-290,111,-124,-367,351,510,13.35451266,-70.63995378,-84.64918975,0,-0.02,-0.02,-234,48,-270,-555,291,-67,23.4,-63.7,-147,0.06,-0.02,0.03,193,207,-213,-10,653,465
"A",1.14,7.31,-94,0.02,0,-0.03,-18,2,22,-7,602,-304,-131,17.9,-162,0,-0.02,0.02,-288,109,-125,-368,335,516,13.33033728,-70.85058796,-84.44601983,0.02,-0.02,-0.02,-235,48,-270,-555,294,-66,23.4,-63.6,-147,0.05,-0.02,-0.02,189,207,-217,-9,656,476
"A",1.1,7.3,-94.1,0.02,0,-0.03,-21,3,23,1,600,-296,-131,17.9,-162,0,-0.02,0,-290,111,-124,-366,332,515,13.15834491,-70.81598707,-84.52580163,0,-0.02,0,-233,47,-268,-554,293,-63,23.4,-63.5,-147,0.03,-0.03,-0.02,194,202,-214,-12,658,468
"A",1.1,7.32,-94.1,0.02,0,-0.02,-18,3,20,-6,597,-313,-131,17.8,-162,0,-0.02,-0.02,-289,110,-123,-372,340,516,12.83108713,-70.87987135,-84.54692154,0,-0.02,0,-234,46,-269,-554,295,-53,23.5,-63.4,-147,0.05,-0.06,0.02,192,201,-213,-9,657,473
"A",1.09,7.31,-94.1,0.02,0,-0.03,-19,4,21,0,602,-313,-131,17.8,-162,0,-0.02,-0.02,-288,109,-122,-367,345,507,12.75445697,-70.73491752,-84.71075185,0,-0.02,0,-235,46,-271,-558,287,-67,23.5,-63.4,-147,0.05,-0.05,0.03,189,202,-213,-12,652,467
"A",1.08,7.34,-94.1,0.03,0,-0.03,-20,4,21,-11,597,-307,-131,17.8,-162,0,-0.02,-0.02,-288,109,-123,-373,338,517,13.05579987,-70.88181726,-84.48704755,0,-0.02,-0.02,-235,47,-270,-557,296,-67,23.7,-63.3,-147,0.05,-0.05,0.05,191,200,-215,-21,658,467
"A",1.06,7.41,-94.1,0.03,0,-0.02,-20,3,21,2,602,-309,-131,17.7,-162,0,-0.02,-0.02,-290,111,-123,-368,342,514,12.80059675,-70.31304585,-85.11886321,0,-0.02,-0.02,-233,46,-271,-558,294,-63,23.7,-63.2,-147,0.02,-0.02,-0.02,190,207,-215,-15,656,470
"A",1.06,7.44,-94.1,0.03,0,-0.02,-20,4,22,-3,607,-306,-131,17.7,-162,0,-0.02,0,-291,111,-123,-370,341,511,13.08303562,-71.05981082,-84.30278931,0,-0.02,-0.02,-235,47,-269,-551,295,-54,23.7,-63.2,-147,0,-0.02,-0.05,190,205,-215,-15,661,462
"A",1.04,7.45,-94.1,0.02,0,-0.03,-20,4,22,0,605,-295,-131,17.7,-162,0,-0.02,-0.02,-289,110,-122,-370,339,511,12.80426595,-70.70175536,-84.73107178,0,-0.02,0,-234,46,-270,-551,295,-55,23.7,-63.3,-147,-0.02,-0.03,-0.05,195,203,-213,-11,653,463
"A",1.04,7.46,-94,0,0,-0.03,-20,4,22,-3,601,-311,-131,17.7,-162,-0.02,-0.03,-0.02,-289,109,-124,-370,336,525,12.78106438,-70.91243032,-84.52727342,0,-0.02,-0.02,-235,46,-270,-560,292,-63,23.6,-63.3,-147,0.02,-0.02,-0.02,194,201,-212,-12,653,472
"A",1.04,7.48,-94.1,0.02,0,-0.03,-20,4,23,3,600,-316,-131,17.6,-162,0,-0.02,0,-291,109,-121,-365,339,513,12.80426595,-70.70175536,-84.73107178,0,-0.03,-0.02,-234,46,-270,-550,294,-70,23.6,-63.3,-147,0,0,-0.02,193,205,-215,-20,663,464
"A",1.03,7.49,-94,0.02,0,-0.03,-20,3,24,-5,608,-298,-131,17.6,-162,0,-0.02,-0.02,-290,109,-123,-369,330,514,12.77751367,-70.52436046,-84.91445734,0,-0.02,-0.02,-234,46,-271,-563,289,-62,23.6,-63.3,-147,0,-0.02,-0.02,191,205,-213,-14,660,477
"A",1.02,7.5,-94,0.02,0,-0.03,-19,3,21,-12,601,-314,-131,17.5,-162,0,-0.02,-0.02,-289,110,-125,-367,341,506,12.78106438,-70.91243032,-84.52727342,0,-0.02,0,-235,46,-270,-556,287,-71,23.6,-63.3,-147,0.02,-0.02,0,191,204,-212,-18,655,472
"A",1.01,7.52,-94.1,0.02,0,-0.03,-20,5,21,-7,598,-312,-131,17.4,-162,0.02,-0.02,0,-289,111,-123,-368,333,512,12.47653742,-70.3771972,-85.13677002,0.02,-0.02,0,-234,45,-272,-558,293,-60,23.6,-63.3,-147,0,-0.02,-0.03,192,206,-213,-9,657,472
"A",1.04,7.54,-94.1,0.02,0,-0.03,-21,3,24,-4,604,-296,-131,17.3,-162,0.02,-0.03,0,-288,109,-122,-371,338,512,12.27185896,-70.15975885,-85.40379472,0,-0.02,-0.02,-232,44,-271,-558,290,-71,23.6,-63.3,-147,0.02,-0.03,-0.02,193,203,-212,-16,654,468
"A",1.02,7.53,-94.1,0,0,-0.03,-21,3,23,1,606,-308,-131,17.2,-162,0.02,-0.02,0,-290,111,-122,-367,334,513,12.82370572,-70.1009715,-85.32397096,0.02,-0.02,0,-232,46,-271,-559,292,-56,23.6,-63.3,-147,0.02,-0.03,0,192,202,-214,-10,662,469
"A",1.01,7.45,-94.1,0,0,-0.02,-19,5,23,-3,606,-311,-132,17.1,-162,0,0,-0.03,-288,109,-126,-369,340,510,13.30261297,-70.67355141,-84.62953444,0,-0.02,0,-235,48,-271,-557,297,-73,23.6,-63.3,-147,0,0.02,-0.02,190,205,-216,-17,659,468
"A",1.05,7.42,-94.1,0.02,0,-0.03,-20,3,25,-5,598,-298,-132,17.1,-163,0,0,-0.03,-290,110,-124,-367,338,525,12.25323852,-70.76108375,-84.8097078,0,-0.02,0,-234,44,-270,-557,293,-69,23.2,-63.4,-147,0,0.02,-0.02,191,208,-215,-13,656,479
"A",1.04,7.43,-94.1,0.02,0,-0.03,-18,4,25,-2,602,-304,-132,17.1,-163,0,-0.02,-0.03,-288,109,-125,-358,337,518,12.42819346,-70.41134345,-85.11480144,0,-0.02,-0.02,-235,45,-273,-557,292,-65,23.1,-63.4,-147,0.02,0.02,-0.03,194,206,-212,-9,655,467
"A",1.03,7.41,-94.1,0.02,0,-0.03,-19,3,23,1,605,-313,-132,17.1,-163,0,-0.02,-0.02,-289,110,-123,-367,330,510,12.77751367,-70.52436046,-84.91445734,0,0,-0.02,-234,46,-271,-562,295,-72,23,-63.4,-147,0.02,0,-0.03,190,206,-214,-7,657,463
"A",1.03,7.4,-94.1,0.02,0,-0.02,-20,3,25,-8,606,-296,-132,17,-163,-0.02,-0.02,-0.03,-288,109,-120,-365,329,507,12.47653742,-70.3771972,-85.13677002,0,0,-0.02,-234,45,-272,-559,291,-64,22.8,-63.5,-146,0,0.02,-0.03,193,205,-213,-4,651,466
"A",1.03,7.4,-94.1,0.02,0,-0.02,-21,4,23,-6,599,-311,-132,17,-163,-0.02,-0.02,-0.02,-286,109,-121,-370,342,513,12.54787837,-70.13067278,-85.36429634,0,0,-0.02,-232,45,-271,-556,293,-70,22.8,-63.5,-146,0,0,-0.03,193,206,-214,-10,660,472
"A",1.05,7.42,-94.1,0.02,0,-0.02,-19,4,24,-3,596,-311,-132,17,-163,0,-0.02,-0.02,-288,110,-124,-363,339,515,12.55158748,-70.52027361,-84.97560794,0,-0.02,0,-233,45,-270,-566,292,-70,22.7,-63.5,-146,0.02,-0.02,-0.03,195,205,-214,-9,656,468
"A",1.07,7.44,-94,0.02,0,-0.03,-19,4,24,-3,605,-308,-132,16.9,-163,0.02,0,-0.03,-285,111,-123,-374,335,520,13.38245941,-70.81758832,-84.46500278,0,-0.02,-0.02,-234,48,-269,-562,295,-56,22.6,-63.5,-146,0.02,0,-0.02,191,203,-213,-12,650,468
"A",1.07,7.43,-94,0.02,0,-0.03,-19,4,24,-1,606,-310,-132,16.9,-163,0.02,0,-0.03,-286,110,-124,-368,337,511,12.82749458,-70.49031927,-84.93557392,0,-0.02,0,-233,46,-270,-555,293,-72,22.5,-63.5,-146,0.02,0,-0.02,192,202,-215,-12,654,457
"A",1.06,7.43,-94,0.02,0,-0.03,-19,4,24,-1,599,-309,-132,16.9,-163,0.02,0,-0.02,-289,111,-123,-365,347,514,13.02493063,-70.31756075,-85.05658246,0,-0.02,0,-234,47,-272,-561,293,-66,22.5,-63.5,-146,0.02,0.02,-0.02,192,205,-215,-10,656,462
"A",1.05,7.43,-94,0.02,0,-0.02,-20,3,27,-3,604,-306,-132,16.9,-163,0,0,-0.02,-288,109,-122,-365,337,517,12.45048376,-70.20100811,-85.31861742,0,-0.02,-0.02,-234,45,-273,-554,292,-61,22.3,-63.5,-146,0.02,0,-0.02,193,207,-215,-11,655,468
"A",1.07,7.44,-94.1,0.02,0,-0.02,-20,3,25,-3,606,-311,-132,16.7,-163,0.02,-0.02,0,-291,111,-122,-358,333,521,12.25323852,-70.76108375,-84.8097078,0,-0.02,-0.02,-234,44,-270,-559,294,-51,22.1,-63.5,-146,0.02,0,-0.02,196,207,-212,-17,650,464
"A",1.15,7.39,-94.1,0,0,0,-22,3,24,-7,600,-309,-133,16.6,-163,0.02,0,-0.02,-288,110,-122,-365,338,511,13.02493063,-70.31756075,-85.05658246,0,-0.02,-0.02,-234,47,-272,-560,292,-69,22.3,-63.4,-146,0.03,-0.06,-0.02,202,207,-213,-7,654,470
"A",1.22,7.35,-94.1,-0.02,0,0.02,-20,2,27,1,607,-312,-133,16.5,-163,0.02,-0.02,-0.03,-287,108,-122,-365,340,512,13.13073959,-70.63750507,-84.71064711,-0.02,-0.02,-0.02,-233,47,-269,-555,298,-68,22.3,-63.4,-146,0,-0.02,-0.02,193,206,-215,-12,654,468
"A",1.23,7.34,-94.1,0,0,0,-20,5,26,-1,603,-306,-133,16.5,-163,0.02,-0.02,-0.02,-286,109,-124,-364,331,510,13.32663754,-70.46303572,-84.83261299,0,-0.02,0.02,-234,48,-271,-563,293,-71,22.4,-63.4,-146,0,-0.03,-0.03,189,205,-215,-10,655,463
"A",1.27,7.33,-94.1,0,0,0,-19,8,22,-2,604,-312,-133,16.4,-163,0.02,0,-0.02,-288,110,-122,-369,337,507,13.04835112,-70.10639112,-85.26057697,-0.02,0,0,-233,47,-272,-561,296,-67,22.3,-63.4,-146,0,0,-0.03,190,204,-216,-4,648,464
"A",1.32,7.28,-94.1,0,0,-0.03,-18,4,20,-8,599,-309,-133,16.4,-163,0.02,-0.02,-0.02,-288,111,-123,-372,338,517,13.00153631,-70.52797703,-84.85328202,0,-0.02,0.02,-235,47,-272,-559,292,-74,22.1,-63.5,-146,-0.02,0.02,-0.07,196,203,-214,-12,656,469
"A",1.29,7.23,-94.1,-0.02,0,-0.05,-19,2,22,-2,598,-306,-133,16.4,-163,0,-0.02,-0.02,-288,111,-122,-361,335,523,13.07948887,-70.67116245,-84.69053461,0,-0.02,0.02,-234,47,-270,-557,297,-52,22.1,-63.5,-146,-0.02,-0.03,-0.05,195,202,-215,-9,655,469
"A",1.24,7.2,-94.1,-0.02,0,-0.05,-19,2,23,-6,612,-295,-133,16.3,-163,0.02,-0.02,-0.02,-288,110,-122,-362,346,518,13.07574259,-70.28271016,-85.07803122,-0.02,-0.02,0.03,-233,47,-271,-562,296,-72,22.1,-63.5,-146,-0.03,-0.02,-0.05,191,200,-213,-12,659,471
"A",1.12,7.15,-94,0,0,-0.05,-19,1,23,-8,603,-297,-133,16.2,-163,0.02,-0.02,0,-288,111,-123,-362,335,519,12.29776333,-70.33736693,-85.22064473,-0.02,0,0.03,-232,44,-270,-558,292,-70,21.9,-63.6,-146,0,-0.02,-0.02,192,203,-213,-11,659,465
"A",1.09,7.18,-94,0,0,-0.02,-20,3,21,2,606,-311,-133,16.1,-163,0,-0.02,-0.02,-288,112,-123,-367,335,511,11.71925996,-70.21607571,-85.48029537,-0.02,0,0.03,-232,42,-271,-555,288,-70,21.7,-63.7,-146,0,0.02,-0.05,192,204,-213,-10,654,470
"A",1.11,7.16,-94,0,0.02,-0.02,-19,4,20,-3,605,-296,-133,16,-163,0.02,-0.02,-0.02,-288,112,-123,-368,333,514,13.37476825,-70.03973325,-85.24085475,-0.02,0,0,-232,48,-271,-554,294,-67,21.5,-63.7,-146,0.02,0,-0.02,191,204,-214,-17,651,470
